date,season,week,eventName,fmIdA,nameA,fmIdB,nameB,winnerFmId,method,round,division
2017-07-11,2017,1,Dana Whites Contender Series,70328,Kurt Holobaugh,20501,Matt Bessette,,KO (Punch),1,LW
2017-07-11,2017,1,Dana Whites Contender Series,69754,Azunna Anyanwu,24222,Greg Rebello,69754,KO (Punch),2,HW
2017-07-11,2017,1,Dana Whites Contender Series,113997,Boston Salmon,82772,Ricky Turcios,113997,Decision (Unanimous),3,BW
2017-07-11,2017,1,Dana Whites Contender Series,51886,Charles Byrd,74162,Jamie Pickett,51886,Technical Submission (Arm Triangle Choke),1,MW
2017-07-11,2017,1,Dana Whites Contender Series,50579,Joby Sanchez,128618,Manny Vazquez,50579,Decision (Unanimous),3,FLW
2017-07-18,2017,,Dana Whites Contender Series,31880,Dan Spohn,39077,Angel DeAnda,31880,SUB,1,LHW
2017-07-18,2017,,Dana Whites Contender Series,116060,Sean OMalley,115401,Alfred Khashakyan,116060,TKO,1,BW
2017-07-18,2017,,Dana Whites Contender Series,99741,Thanh Le,5339,Lazar Stojadinovic,99741,TKO,2,FW
2017-07-18,2017,,Dana Whites Contender Series,65580,Sidney Outlaw,151037,Michael Cora,65580,Decision (Unanimous),3,LW
2017-07-18,2017,,Dana Whites Contender Series,153455,Casey Kenney,72606,C.J. Hamilton,153455,Decision (Unanimous),3,FLW
2017-07-25,2017,,Dana Whites Contender Series,114628,Karl Roberson,69660,Ryan Spann,114628,KO (Elbows),1,LHW
2017-07-25,2017,,Dana Whites Contender Series,96821,Kyle Stewart,48359,Jason Jackson,96821,TKO (Ankle Injury),2,WW
2017-07-25,2017,,Dana Whites Contender Series,73564,Geoff Neal,69947,Chase Waldon,73564,TKO (Punches),1,WW
2017-07-25,2017,,Dana Whites Contender Series,153834,Alonzo Menifield,85468,Daniel Jolly,153834,TKO (Eye Injury),1,LHW
2017-07-25,2017,,Dana Whites Contender Series,116900,Dan Ige,151553,Luis Gomez,116900,Submission (Rear Naked Choke),3,FW
2017-08-01,2017,,Dana Whites Contender Series,79823,Julian Marquez,113786,Phil Hawes,79823,KO (Head Kick),2,LHW
2017-08-01,2017,,Dana Whites Contender Series,144424,Kyler Phillips,118319,James Gray Jr.,144424,TKO (Elbows and Punches),1,BW
2017-08-01,2017,,Dana Whites Contender Series,94436,Carlos Candelario,113047,Ronaldo Candido de Oliveira,94436,Decision (Unanimous),3,BW
2017-08-01,2017,,Dana Whites Contender Series,69305,Brandon Davis,57793,Austin Arnett,69305,Decision (Unanimous),3,LW
2017-08-01,2017,,Dana Whites Contender Series,88645,John Castaneda,135248,Cheyden Leialoha,88645,Decision (Unanimous),3,BW
2017-08-08,2017,,Dana Whites Contender Series,99705,Mike Rodriguez,117303,Jamelle Jones,99705,TKO,1,LHW
2017-08-08,2017,,Dana Whites Contender Series,72780,Julio Arce,140289,Peter Petties,72780,TKO,2,FW
2017-08-08,2017,,Dana Whites Contender Series,24370,Alex Perez,107984,Kevin Gray,24370,SUB,1,BW
2017-08-08,2017,,Dana Whites Contender Series,101352,Ricky Simon,81184,Donavon Frelow,101352,Decision (Split),3,FW
2017-08-08,2017,,Dana Whites Contender Series,90483,Shelton Graves,95360,Everett Sims,90483,TKO,3,HW
2017-08-15,2017,,Dana Whites Contender Series,51886,Charles Byrd,92329,Randall Wallace,51886,Submission (Rear Naked Choke),2,MW
2017-08-15,2017,,Dana Whites Contender Series,97526,Grant Dawson,55113,Adrian Diaz,97526,Submission (Rear Naked Choke),2,FW
2017-08-15,2017,,Dana Whites Contender Series,135170,Cameron Olson,169415,Karl Reed,135170,Decision (Unanimous),3,LHW
2017-08-15,2017,,Dana Whites Contender Series,118435,Jaime Alvarez,126306,Martin Day,118435,Decision (Unanimous),3,FLW
2017-08-15,2017,,Dana Whites Contender Series,103457,Jamie Colleen Miller,150491,Tiffany Masters,103457,Submission (Armbar),3,
2017-08-22,2017,,Dana Whites Contender Series,155817,Kennedy Nzechukwu,71243,Anton Berzin,155817,Decision (Split),3,LHW
2017-08-22,2017,,Dana Whites Contender Series,108989,Benito Lopez,61652,Steven Peterson,108989,Decision (Split),3,BW
2017-08-22,2017,,Dana Whites Contender Series,50579,Joby Sanchez,146355,J.P. Buys,50579,TKO (Punches),2,FLW
2017-08-22,2017,,Dana Whites Contender Series,67597,Mike Santiago,58990,Mark Cherico,67597,KO (Punches),1,LW
2017-08-22,2017,,Dana Whites Contender Series,66254,Jordan Espinosa,53183,Nick Urso,66254,Technical Submission (Anaconda Choke),1,BW
2017-08-29,2017,,Dana Whites Contender Series,95840,Matt Frevola,61674,Jose Flores,95840,Submission (Arm Triangle Choke),2,LW
2017-08-29,2017,,Dana Whites Contender Series,153509,Bevon Lewis,132142,Elias Urbina,153509,TKO (Punches),2,MW
2017-08-29,2017,,Dana Whites Contender Series,8922,Adam Antolin,153455,Casey Kenney,8922,Decision (Split),3,FLW
2017-08-29,2017,,Dana Whites Contender Series,149565,Lauren Mueller,133525,Kelly McGill-Velasco,149565,Decision (Unanimous),3,
2017-08-29,2017,,Dana Whites Contender Series,126965,Allen Crowder,166377,Dontale Mayes,126965,TKO (Punches and Elbows),3,HW
2018-03-15,2018,,Cabo Bato Fights,72582,Elias Garcia,8922,Adam Antolin,72582,KO (Punches),1,BW
2018-03-15,2018,,Cabo Bato Fights,155288,Hugo Flores,133013,Jose Luis Verdugo,155288,Decision (Unanimous),3,LW
